year,number,song,artist,semanas
2011,5,"Give Me Everything (feat Ne-Yo, Afrojack & Nayer)","Pitbull feat. Ne-Yo, Afrojack & Nayer","35 Semanas en lista
1x"
2011,6,Bailando Por Ahí (feat Crossfire),Juan Magan,"32 Semanas en lista
1x"
2011,7,Blanco y negro,Malú,"64 Semanas en lista
1x"
2011,8,Rain Over Me (feat Marc Anthony),Pitbull / Marc Anthony,"24 Semanas en lista
1x"
2011,9,Ai Se Eu Te Pego,Michel Telo,"6 Semanas en lista
1x"
2011,10,Loca (feat El Cata),Shakira / El Cata,"48 Semanas en lista
2x"
2011,11,Tonight (I´m loving you) (feat. Ludacris/ Dj Frank E,Enrique Iglesias,"31 Semanas en lista
1x"
2011,12,Mr. Saxo beat,Alexandra Stan,"46 Semanas en lista
1x"
2011,13,Quien te quiere como yo,Carlos Baute,"46 Semanas en lista
1x"
2011,14,The Time (Dirty Bit),The Black Eyed Peas,"38 Semanas en lista
1x"
2011,15,Lead the way,Carlos Jean,"38 Semanas en lista
1x"
2011,16,Born This Way,LADY GAGA,"22 Semanas en lista
1x"
2011,17,Cuando Te Beso,Niña Pastori,"29 Semanas en lista
1x"
2011,18,Rolling in the Deep,Adele,"46 Semanas en lista
1x"
2011,19,Perdoname con Carminho,Pablo Alborán,"13 Semanas en lista
1x"
2011,20,Only Girl (In The World),Rihanna,"48 Semanas en lista
1x"
2011,21,Moves Like Jagger (Christina Aguilera),Maroon 5 feat Christina Aguilera,"18 Semanas en lista
1x"
2011,22,S&M,Rihanna,"31 Semanas en lista
1x"
2011,23,Party Rock Anthem,LMFAO feat Lauren Bennett & GoonRock,"35 Semanas en lista
1x"
2011,24,Vencer al amor,India Martinez,"18 Semanas en lista
1x"
2011,25,We found love (feat Calvin Harris),Rihanna feat Calvin Harris,"15 Semanas en lista
1x"
2011,26,Who`s that Chick,David Guetta & feat Rihanna,"32 Semanas en lista
1x"
